"Date","LFEAICTTCAM647S"
2023-01-01,3832121.48594854
2023-02-01,3845699.31856235
2023-03-01,3824556.58357837
2023-04-01,3829972.15652391
2023-05-01,3851328.58217295
2023-06-01,3843646.98404373
2023-07-01,3809706.36569074
2023-08-01,3815232.21226434
2023-09-01,3792540.69049672
2023-10-01,3795835.70229595
2023-11-01,3846823.53882696
